ticker,ticker-full,short-name,sector,industry,6-10--2025
FOXA,FOXA US Equity,FOX CORP - A,Communication Services,Media,54.73
FOX,FOX US Equity,FOX CORP - B,Communication Services,Media,50.31
IBTA,IBTA US Equity,IBOTTA INC-CL A,Communication Services,Media,46.44
WLY,WLY US Equity,WILEY JOHN&SON-A,Communication Services,Media,39.35
WLYB,WLYB US Equity,WILEY JOHN&SON-B,Communication Services,Media,39.14
CMCSA,CMCSA US Equity,COMCAST CORP-A,Communication Services,Media,35.62
NWS,NWS US Equity,NEWS CORP-CL B,Communication Services,Media,32.02
NWSA,NWSA US Equity,NEWS CORP-CL A,Communication Services,Media,27.96
IPG,IPG US Equity,INTERPUBLIC GRP,Communication Services,Media,23.77
SIRI,SIRI US Equity,SIRIUS XM HOLDIN,Communication Services,Media,22.81
PARAA,PARAA US Equity,PARAMOUNT GLOB-A,Communication Services,Media,22.52
MNTN,MNTN US Equity,MNTN INC-A,Communication Services,Media,21.21
SCHL,SCHL US Equity,SCHOLASTIC CORP,Communication Services,Media,19.08
MGNI,MGNI US Equity,MAGNITE INC,Communication Services,Media,17.44
TGNA,TGNA US Equity,TEGNA INC,Communication Services,Media,16.9
SATS,SATS US Equity,ECHOSTAR CORP-A,Communication Services,Media,16.74
DV,DV US Equity,DOUBLEVERIFY HOL,Communication Services,Media,14.93
NMAX,NMAX US Equity,NEWSMAX INC,Communication Services,Media,14.41
BOC,BOC US Equity,BOSTON OMAHA -A,Communication Services,Media,14.2
THRY,THRY US Equity,THRYV HOLDINGS I,Communication Services,Media,13.72
SBGI,SBGI US Equity,SINCLAIR INC,Communication Services,Media,13.56
SGA,SGA US Equity,SAGA COMM-CL A,Communication Services,Media,12.58
PARA,PARA US Equity,PARAMOUNT GLOB-B,Communication Services,Media,12.17
PUBM,PUBM US Equity,PUBMATIC INC-A,Communication Services,Media,11.62
GTN/A,GTN/A US Equity,GRAY MEDIA INC-A,Communication Services,Media,8.88
IAS,IAS US Equity,INTEGRAL AD SCIE,Communication Services,Media,8.08
TTGT,TTGT US Equity,TECHTARGET INC,Communication Services,Media,7.42
TSQ,TSQ US Equity,TOWNSQUARE MED-A,Communication Services,Media,7.26
AMCX,AMCX US Equity,AMC NETWORKS-A,Communication Services,Media,7.04
LEE,LEE US Equity,LEE ENTERPRISES,Communication Services,Media,6.6
NCMI,NCMI US Equity,NATIONAL CINEMED,Communication Services,Media,5.4
ASST,ASST US Equity,ASSET ENTITIES-B,Communication Services,Media,5.33
SCOR,SCOR US Equity,COMSCORE INC,Communication Services,Media,5.05
EEX,EEX US Equity,EMERALD HOLDING,Communication Services,Media,4.89
STGW,STGW US Equity,STAGWELL INC,Communication Services,Media,4.79
BBGI,BBGI US Equity,BEASLEY BROAD -A,Communication Services,Media,4.73
HHS,HHS US Equity,HARTE-HANKS INC,Communication Services,Media,4.45
DALN,DALN US Equity,DALLASNEWS CORP,Communication Services,Media,4.12
WOW,WOW US Equity,WIDEOPENWEST INC,Communication Services,Media,4.11
GTN,GTN US Equity,GRAY MEDIA INC,Communication Services,Media,4.05
CREX,CREX US Equity,CREATIVE REALITI,Communication Services,Media,3.75
GCI,GCI US Equity,GANNETT CO INC,Communication Services,Media,3.52
SSP,SSP US Equity,EW SCRIPPS-A,Communication Services,Media,2.82
EVC,EVC US Equity,ENTRAVISION CO-A,Communication Services,Media,2.43
ATUS,ATUS US Equity,ALTICE USA INC-A,Communication Services,Media,2.22
MCHX,MCHX US Equity,MARCHEX INC-B,Communication Services,Media,1.99
FLNT,FLNT US Equity,FLUENT INC,Communication Services,Media,1.83
IHRT,IHRT US Equity,IHEARTMEDIA-CL A,Communication Services,Media,1.8
CDLX,CDLX US Equity,CARDLYTICS INC,Communication Services,Media,1.79
UONE,UONE US Equity,URBAN ONE INC,Communication Services,Media,1.68
ADV,ADV US Equity,ADVANTAGE SOLUTI,Communication Services,Media,1.47
SWAG,SWAG US Equity,STRAN & CO INC,Communication Services,Media,1.41
YHC,YHC US Equity,LQR HOUSE INC,Communication Services,Media,1.29
TGL,TGL US Equity,TREASURE GLOBAL,Communication Services,Media,1.29
CCO,CCO US Equity,CLEAR CHANNEL OU,Communication Services,Media,1.18
SGRP,SGRP US Equity,SPAR GROUP INC,Communication Services,Media,1.05
UONEK,UONEK US Equity,URBAN ONE INC,Communication Services,Media,0.64
XHLD,XHLD US Equity,TEN HOLDINGS INC,Communication Services,Media,0.57
DRCT,DRCT US Equity,DIRECT DIGITAL-A,Communication Services,Media,0.54
TMUS,TMUS US Equity,T-MOBILE US INC,Communication Services,Wireless Telecommunication Services,236.98
USM,USM US Equity,US CELLULAR CORP,Communication Services,Wireless Telecommunication Services,62.62
TDS,TDS US Equity,TELEPHONE & DATA,Communication Services,Wireless Telecommunication Services,35.38
SPOK,SPOK US Equity,SPOK HOLDINGS IN,Communication Services,Wireless Telecommunication Services,16.64
GOGO,GOGO US Equity,GOGO INC,Communication Services,Wireless Telecommunication Services,11.89
KORE,KORE US Equity,KORE GROUP HOLDI,Communication Services,Wireless Telecommunication Services,2.58
DORM,DORM US Equity,DORMAN PRODUCTS,Consumer Discretionary,Automobile Components,127.9100037
LEA,LEA US Equity,LEAR CORP,Consumer Discretionary,Automobile Components,95.23000336
LCII,LCII US Equity,LCI INDUSTRIES,Consumer Discretionary,Automobile Components,92.40000153
PATK,PATK US Equity,PATRICK INDS INC,Consumer Discretionary,Automobile Components,91.01000214
VC,VC US Equity,VISTEON CORP,Consumer Discretionary,Automobile Components,90.04000092
STRT,STRT US Equity,STRATTEC SEC,Consumer Discretionary,Automobile Components,58.34999847
PHIN,PHIN US Equity,PHINIA INC,Consumer Discretionary,Automobile Components,44.04999924
XPEL,XPEL US Equity,XPEL INC,Consumer Discretionary,Automobile Components,37.75
BWA,BWA US Equity,BORGWARNER INC,Consumer Discretionary,Automobile Components,33.91999817
SMP,SMP US Equity,STANDARD MOTOR,Consumer Discretionary,Automobile Components,30.62000084
THRM,THRM US Equity,GENTHERM INC,Consumer Discretionary,Automobile Components,28.70000076
FOXF,FOXF US Equity,FOX FACTORY HOLD,Consumer Discretionary,Automobile Components,27.54999924
CPS,CPS US Equity,COOPER-STANDARD,Consumer Discretionary,Automobile Components,22.89999962
GNTX,GNTX US Equity,GENTEX CORP,Consumer Discretionary,Automobile Components,22.26000023
ADNT,ADNT US Equity,ADIENT PLC,Consumer Discretionary,Automobile Components,17.62000084
DAN,DAN US Equity,DANA INC,Consumer Discretionary,Automobile Components,17.39999962
GT,GT US Equity,GOODYEAR TIRE,Consumer Discretionary,Automobile Components,11.93999958
MPAA,MPAA US Equity,MOTORCAR PARTS,Consumer Discretionary,Automobile Components,10.39000034
AXL,AXL US Equity,AMER AXLE & MFG,Consumer Discretionary,Automobile Components,4.409999847
QS,QS US Equity,QUANTUMSCAPE COR,Consumer Discretionary,Automobile Components,4.329999924
LAZR,LAZR US Equity,LUMINAR TECHNOLO,Consumer Discretionary,Automobile Components,3.460000038
WKSP,WKSP US Equity,WORKSPORT LTD,Consumer Discretionary,Automobile Components,3.25999999
HLLY,HLLY US Equity,HOLLEY INC,Consumer Discretionary,Automobile Components,2.180000067
SLDP,SLDP US Equity,SOLID POWER INC,Consumer Discretionary,Automobile Components,1.629999995
SUP,SUP US Equity,SUPERIOR INDS,Consumer Discretionary,Automobile Components,0.439500004
MKDW,MKDW US Equity,MKD TECH INC,Consumer Discretionary,Automobile Components,0.305000007
MOD,MOD US Equity,MODINE MFG CO,Consumer Discretionary,Automobile Components,91.93
SRI,SRI US Equity,STONERIDGE INC,Consumer Discretionary,Automobile Components,6.35
SYPR,SYPR US Equity,SYPRIS SOLUTIONS,Consumer Discretionary,Automobile Components,2.07
TSLA,TSLA US Equity,TESLA INC,Consumer Discretionary,Automobiles,326.0899963
THO,THO US Equity,THOR INDUSTRIES,Consumer Discretionary,Automobiles,88.62000275
GM,GM US Equity,GENERAL MOTORS C,Consumer Discretionary,Automobiles,48.93000031
WGO,WGO US Equity,WINNEBAGO INDS,Consumer Discretionary,Automobiles,34.25999832
HOG,HOG US Equity,HARLEY-DAVIDSON,Consumer Discretionary,Automobiles,25.42000008
RIVN,RIVN US Equity,RIVIAN AUTOMOT-A,Consumer Discretionary,Automobiles,14.39999962
F,F US Equity,FORD MOTOR CO,Consumer Discretionary,Automobiles,10.60000038
LVWR,LVWR US Equity,LIVEWIRE GROUP I,Consumer Discretionary,Automobiles,7.480000019
MULN,MULN US Equity,MULLEN AUTOMOTIV,Consumer Discretionary,Automobiles,5.619999886
LCID,LCID US Equity,LUCID GROUP INC,Consumer Discretionary,Automobiles,2.190000057
MAMO,MAMO US Equity,MASSIMO GROUP,Consumer Discretionary,Automobiles,2.190000057
FLYE,FLYE US Equity,FLY-E GROUP INC,Consumer Discretionary,Automobiles,0.675000012
VLCN,VLCN US Equity,VOLCON INC,Consumer Discretionary,Automobiles,0.652400017
AYRO,AYRO US Equity,AYRO INC,Consumer Discretionary,Automobiles,0.430000007
ECDA,ECDA US Equity,ECD AUTOMOTIVE D,Consumer Discretionary,Automobiles,0.32190001
FFAI,FFAI US Equity,FARADAY FUTURE I,Consumer Discretionary,Automobiles,1.49
WKHS,WKHS US Equity,WORKHORSE GROUP,Consumer Discretionary,Automobiles,1.02
CENN,CENN US Equity,CENNTRO INC,Consumer Discretionary,Automobiles,0.98
EVTV,EVTV US Equity,ENVIROTECH VEHIC,Consumer Discretionary,Automobiles,0.2
DDS,DDS US Equity,DILLARDS INC-A,Consumer Discretionary,Broadline Retail,403.8200073
AMZN,AMZN US Equity,AMAZON.COM INC,Consumer Discretionary,Broadline Retail,217.6100006
EBAY,EBAY US Equity,EBAY INC,Consumer Discretionary,Broadline Retail,78.76999664
