id_sec,sector_id,sector,date_id,date,volume,close_price,dayHigh,dayLow
19530,2,Consumer Discretionary,20250620,6/20/2025 0:00,83972992542,3056396.186,3087578.12,3015157.051
29757,3,Consumer Staples,20250620,6/20/2025 0:00,19571210100,472631.6391,476661.127,465421.7025
39984,4,Energy,20250620,6/20/2025 0:00,95829175700,969271.8123,984672.125,957544.7981
50211,5,Financials,20250620,6/20/2025 0:00,393758500,1818.818006,1887.285986,1797.758596
60438,6,Health Care,20250620,6/20/2025 0:00,5.30322E+11,5461733.71,5576180.823,5379639.871
70665,7,Industrials,20250620,6/20/2025 0:00,1.00542E+11,2520636.286,2559728.491,2497283.957
80892,8,Information Technology,20250620,6/20/2025 0:00,2.27205E+11,3623899.794,3698112.97,3587245.745
91119,9,Materials,20250620,6/20/2025 0:00,24355191985,428753.5049,436214.0531,425352.5218
101346,10,Real Estate,20250620,6/20/2025 0:00,742123100,2299.450017,2346.30402,2281.77401
111573,11,Utilities,20250620,6/20/2025 0:00,6264455200,92201.37104,93347.34546,91651.34825
9306,1,Communication Services,20250623,6/23/2025 0:00,23042054643,344300.8776,347073.9492,335409.705
19533,2,Consumer Discretionary,20250623,6/23/2025 0:00,72376128848,3086374.584,3106251.054,3002913.747
29760,3,Consumer Staples,20250623,6/23/2025 0:00,11458009504,471929.7795,477102.2115,462520.1509
39987,4,Energy,20250623,6/23/2025 0:00,77929852795,946274.2613,987968.1233,937773.2878
50214,5,Financials,20250623,6/23/2025 0:00,181571945,1837.271386,1850.514924,1780.695084
60441,6,Health Care,20250623,6/23/2025 0:00,6.41272E+11,5470938.41,5569050.742,5346251.827
70668,7,Industrials,20250623,6/23/2025 0:00,54406442699,2554173.761,2567208.308,2489015.566
80895,8,Information Technology,20250623,6/23/2025 0:00,1.66428E+11,3666974.419,3689138.068,3570189.89
91122,9,Materials,20250623,6/23/2025 0:00,14317318298,431711.9419,434127.9218,420760.0872
101349,10,Real Estate,20250623,6/23/2025 0:00,629116806,2304.499991,2333.29711,2255.207884
111576,11,Utilities,20250623,6/23/2025 0:00,3754475900,93629.74017,94118.91184,91985.40015
