ticker_id,ticker,ticker-full,short-name,sector,industry
147,OMC,OMC US Equity,OMNICOM GROUP,Communication Services,Media
148,PARA,PARA US Equity,PARAMOUNT GLOB-B,Communication Services,Media
149,PARAA,PARAA US Equity,PARAMOUNT GLOB-A,Communication Services,Media
150,PUBM,PUBM US Equity,PUBMATIC INC-A,Communication Services,Media
151,SATS,SATS US Equity,ECHOSTAR CORP-A,Communication Services,Media
152,SBGI,SBGI US Equity,SINCLAIR INC,Communication Services,Media
153,SCHL,SCHL US Equity,SCHOLASTIC CORP,Communication Services,Media
154,SCOR,SCOR US Equity,COMSCORE INC,Communication Services,Media
155,SGA,SGA US Equity,SAGA COMM-CL A,Communication Services,Media
156,SGRP,SGRP US Equity,SPAR GROUP INC,Communication Services,Media
157,SIRI,SIRI US Equity,SIRIUS XM HOLDIN,Communication Services,Media
158,SSP,SSP US Equity,EW SCRIPPS-A,Communication Services,Media
159,STGW,STGW US Equity,STAGWELL INC,Communication Services,Media
160,SWAG,SWAG US Equity,STRAN & CO INC,Communication Services,Media
161,TGL,TGL US Equity,TREASURE GLOBAL,Communication Services,Media
162,TGNA,TGNA US Equity,TEGNA INC,Communication Services,Media
163,THRY,THRY US Equity,THRYV HOLDINGS I,Communication Services,Media
164,TSQ,TSQ US Equity,TOWNSQUARE MED-A,Communication Services,Media
165,TTD,TTD US Equity,TRADE DESK INC-A,Communication Services,Media
166,TTGT,TTGT US Equity,TECHTARGET INC,Communication Services,Media
167,UONE,UONE US Equity,URBAN ONE INC,Communication Services,Media
168,UONEK,UONEK US Equity,URBAN ONE INC,Communication Services,Media
169,WLY,WLY US Equity,WILEY JOHN&SON-A,Communication Services,Media
170,WLYB,WLYB US Equity,WILEY JOHN&SON-B,Communication Services,Media
171,WOW,WOW US Equity,WIDEOPENWEST INC,Communication Services,Media
172,XHLD,XHLD US Equity,TEN HOLDINGS INC,Communication Services,Media
173,YHC,YHC US Equity,LQR HOUSE INC,Communication Services,Media
174,GOGO,GOGO US Equity,GOGO INC,Communication Services,Wireless Telecommunication Services
175,KORE,KORE US Equity,KORE GROUP HOLDI,Communication Services,Wireless Telecommunication Services
176,SPOK,SPOK US Equity,SPOK HOLDINGS IN,Communication Services,Wireless Telecommunication Services
177,TDS,TDS US Equity,TELEPHONE & DATA,Communication Services,Wireless Telecommunication Services
178,TMUS,TMUS US Equity,T-MOBILE US INC,Communication Services,Wireless Telecommunication Services
179,USM,USM US Equity,US CELLULAR CORP,Communication Services,Wireless Telecommunication Services
180,ADNT,ADNT US Equity,ADIENT PLC,Consumer Discretionary,Automobile Components
181,AXL,AXL US Equity,AMER AXLE & MFG,Consumer Discretionary,Automobile Components
182,BWA,BWA US Equity,BORGWARNER INC,Consumer Discretionary,Automobile Components
183,CPS,CPS US Equity,COOPER-STANDARD,Consumer Discretionary,Automobile Components
184,DAN,DAN US Equity,DANA INC,Consumer Discretionary,Automobile Components
185,DORM,DORM US Equity,DORMAN PRODUCTS,Consumer Discretionary,Automobile Components
186,FOXF,FOXF US Equity,FOX FACTORY HOLD,Consumer Discretionary,Automobile Components
187,GNTX,GNTX US Equity,GENTEX CORP,Consumer Discretionary,Automobile Components
188,GT,GT US Equity,GOODYEAR TIRE,Consumer Discretionary,Automobile Components
189,HLLY,HLLY US Equity,HOLLEY INC,Consumer Discretionary,Automobile Components
190,LAZR,LAZR US Equity,LUMINAR TECHNOLO,Consumer Discretionary,Automobile Components
191,LCII,LCII US Equity,LCI INDUSTRIES,Consumer Discretionary,Automobile Components
192,LEA,LEA US Equity,LEAR CORP,Consumer Discretionary,Automobile Components
193,MKDW,MKDW US Equity,MKD TECH INC,Consumer Discretionary,Automobile Components
194,MOD,MOD US Equity,MODINE MFG CO,Consumer Discretionary,Automobile Components
195,MPAA,MPAA US Equity,MOTORCAR PARTS,Consumer Discretionary,Automobile Components
196,PATK,PATK US Equity,PATRICK INDS INC,Consumer Discretionary,Automobile Components
197,PHIN,PHIN US Equity,PHINIA INC,Consumer Discretionary,Automobile Components
198,QS,QS US Equity,QUANTUMSCAPE COR,Consumer Discretionary,Automobile Components
199,SLDP,SLDP US Equity,SOLID POWER INC,Consumer Discretionary,Automobile Components
200,SMP,SMP US Equity,STANDARD MOTOR,Consumer Discretionary,Automobile Components
201,SRI,SRI US Equity,STONERIDGE INC,Consumer Discretionary,Automobile Components
202,STRT,STRT US Equity,STRATTEC SEC,Consumer Discretionary,Automobile Components
203,SUP,SUP US Equity,SUPERIOR INDS,Consumer Discretionary,Automobile Components
204,SYPR,SYPR US Equity,SYPRIS SOLUTIONS,Consumer Discretionary,Automobile Components
205,THRM,THRM US Equity,GENTHERM INC,Consumer Discretionary,Automobile Components
206,VC,VC US Equity,VISTEON CORP,Consumer Discretionary,Automobile Components
207,WKSP,WKSP US Equity,WORKSPORT LTD,Consumer Discretionary,Automobile Components
208,XPEL,XPEL US Equity,XPEL INC,Consumer Discretionary,Automobile Components
209,AYRO,AYRO US Equity,AYRO INC,Consumer Discretionary,Automobiles
210,CENN,CENN US Equity,CENNTRO INC,Consumer Discretionary,Automobiles
211,ECDA,ECDA US Equity,ECD AUTOMOTIVE D,Consumer Discretionary,Automobiles
212,EVTV,EVTV US Equity,ENVIROTECH VEHIC,Consumer Discretionary,Automobiles
213,F,F US Equity,FORD MOTOR CO,Consumer Discretionary,Automobiles
214,FFAI,FFAI US Equity,FARADAY FUTURE I,Consumer Discretionary,Automobiles
215,FLYE,FLYE US Equity,FLY-E GROUP INC,Consumer Discretionary,Automobiles
216,GM,GM US Equity,GENERAL MOTORS C,Consumer Discretionary,Automobiles
217,HOG,HOG US Equity,HARLEY-DAVIDSON,Consumer Discretionary,Automobiles
218,LCID,LCID US Equity,LUCID GROUP INC,Consumer Discretionary,Automobiles
219,LVWR,LVWR US Equity,LIVEWIRE GROUP I,Consumer Discretionary,Automobiles
220,MAMO,MAMO US Equity,MASSIMO GROUP,Consumer Discretionary,Automobiles
221,MULN,MULN US Equity,MULLEN AUTOMOTIV,Consumer Discretionary,Automobiles
222,RIVN,RIVN US Equity,RIVIAN AUTOMOT-A,Consumer Discretionary,Automobiles
223,THO,THO US Equity,THOR INDUSTRIES,Consumer Discretionary,Automobiles
224,TSLA,TSLA US Equity,TESLA INC,Consumer Discretionary,Automobiles
225,VLCN,VLCN US Equity,VOLCON INC,Consumer Discretionary,Automobiles
226,WGO,WGO US Equity,WINNEBAGO INDS,Consumer Discretionary,Automobiles
227,WKHS,WKHS US Equity,WORKHORSE GROUP,Consumer Discretionary,Automobiles
228,AMZN,AMZN US Equity,AMAZON.COM INC,Consumer Discretionary,Broadline Retail
229,CPNG,CPNG US Equity,COUPANG INC,Consumer Discretionary,Broadline Retail
230,DDS,DDS US Equity,DILLARDS INC-A,Consumer Discretionary,Broadline Retail
231,DIBS,DIBS US Equity,1STDIBS.COM INC,Consumer Discretionary,Broadline Retail
232,EBAY,EBAY US Equity,EBAY INC,Consumer Discretionary,Broadline Retail
233,ETSY,ETSY US Equity,ETSY INC,Consumer Discretionary,Broadline Retail
234,GRPN,GRPN US Equity,GROUPON INC,Consumer Discretionary,Broadline Retail
235,HOUR,HOUR US Equity,HOUR LOOP INC,Consumer Discretionary,Broadline Retail
236,KSS,KSS US Equity,KOHLS CORP,Consumer Discretionary,Broadline Retail
237,M,M US Equity,MACY'S INC,Consumer Discretionary,Broadline Retail
238,OLLI,OLLI US Equity,OLLIE'S BARGAIN,Consumer Discretionary,Broadline Retail
239,QVCGA,QVCGA US Equity,QVC GROUP INC,Consumer Discretionary,Broadline Retail
240,SVV,SVV US Equity,SAVERS VALUE VIL,Consumer Discretionary,Broadline Retail
241,AENT,AENT US Equity,ALLIANCE ENTERTA,Consumer Discretionary,Distributors
242,AMRK,AMRK US Equity,A-MARK PRECIOUS,Consumer Discretionary,Distributors
243,CTNT,CTNT US Equity,CHEETAH NET SUPP,Consumer Discretionary,Distributors
244,DIT,DIT US Equity,AMCON DISTRIBUT,Consumer Discretionary,Distributors
245,EDUC,EDUC US Equity,EDUCATIONAL DEV,Consumer Discretionary,Distributors
246,GCT,GCT US Equity,GIGACLOUD TECH-A,Consumer Discretionary,Distributors
247,GNLN,GNLN US Equity,GREENLANE HOLD-A,Consumer Discretionary,Distributors
248,GPC,GPC US Equity,GENUINE PARTS CO,Consumer Discretionary,Distributors
249,KAVL,KAVL US Equity,KAIVAL BRANDS IN,Consumer Discretionary,Distributors
250,LKQ,LKQ US Equity,LKQ CORP,Consumer Discretionary,Distributors
251,POOL,POOL US Equity,POOL CORP,Consumer Discretionary,Distributors
252,WEYS,WEYS US Equity,WEYCO GROUP,Consumer Discretionary,Distributors
253,ADD,ADD US Equity,COLOR STAR TECHN,Consumer Discretionary,Diversified Consumer Services
254,ADT,ADT US Equity,ADT INC,Consumer Discretionary,Diversified Consumer Services
255,ALUR,ALUR US Equity,ALLURION TECHNOL,Consumer Discretionary,Diversified Consumer Services
256,AMBO,AMBO US Equity,AMBOW EDUCAT-ADR,Consumer Discretionary,Diversified Consumer Services
257,AMST,AMST US Equity,AMESITE INC,Consumer Discretionary,Diversified Consumer Services
258,APEI,APEI US Equity,AMERICAN PUBLIC,Consumer Discretionary,Diversified Consumer Services
259,ATGE,ATGE US Equity,ADTALEM GLOBAL E,Consumer Discretionary,Diversified Consumer Services
260,BFAM,BFAM US Equity,BRIGHT HORIZONS,Consumer Discretionary,Diversified Consumer Services
261,BODI,BODI US Equity,BEACHBODY CO INC,Consumer Discretionary,Diversified Consumer Services
262,CHGG,CHGG US Equity,CHEGG INC,Consumer Discretionary,Diversified Consumer Services
263,COUR,COUR US Equity,COURSERA,Consumer Discretionary,Diversified Consumer Services
264,CSV,CSV US Equity,CARRIAGE SERVICE,Consumer Discretionary,Diversified Consumer Services
265,DUOL,DUOL US Equity,DUOLINGO,Consumer Discretionary,Diversified Consumer Services
266,EEIQ,EEIQ US Equity,EPICQUEST EDUCAT,Consumer Discretionary,Diversified Consumer Services
267,EWCZ,EWCZ US Equity,EUROPEAN WAX-A,Consumer Discretionary,Diversified Consumer Services
268,FTDR,FTDR US Equity,FRONTDOOR INC,Consumer Discretionary,Diversified Consumer Services
269,GHC,GHC US Equity,GRAHAM HOLDING-B,Consumer Discretionary,Diversified Consumer Services
270,HRB,HRB US Equity,H&R BLOCK INC,Consumer Discretionary,Diversified Consumer Services
271,KIDZ,KIDZ US Equity,CLASSOVER HOLD-B,Consumer Discretionary,Diversified Consumer Services
272,KLC,KLC US Equity,KINDERCARE LEARN,Consumer Discretionary,Diversified Consumer Services
273,LAUR,LAUR US Equity,LAUREATE EDUCATI,Consumer Discretionary,Diversified Consumer Services
274,LGCY,LGCY US Equity,LEGACY EDUCATION,Consumer Discretionary,Diversified Consumer Services
275,LINC,LINC US Equity,LINCOLN EDUCATIO,Consumer Discretionary,Diversified Consumer Services
276,LOPE,LOPE US Equity,GRAND CANYON EDU,Consumer Discretionary,Diversified Consumer Services
277,LRN,LRN US Equity,STRIDE INC,Consumer Discretionary,Diversified Consumer Services
278,MATW,MATW US Equity,MATTHEWS INTL-A,Consumer Discretionary,Diversified Consumer Services
279,MCW,MCW US Equity,MISTER CAR WASH,Consumer Discretionary,Diversified Consumer Services
280,MYND,MYND US Equity,MYND.AI INC,Consumer Discretionary,Diversified Consumer Services
281,NRDY,NRDY US Equity,NERDY INC,Consumer Discretionary,Diversified Consumer Services
282,PET,PET US Equity,WAG! GROUP CO,Consumer Discretionary,Diversified Consumer Services
283,PRDO,PRDO US Equity,PERDOCEO EDUCATI,Consumer Discretionary,Diversified Consumer Services
284,RGS,RGS US Equity,REGIS CORP,Consumer Discretionary,Diversified Consumer Services
285,SCI,SCI US Equity,SERVICE CORP INT,Consumer Discretionary,Diversified Consumer Services
286,STRA,STRA US Equity,STRATEGIC EDUCAT,Consumer Discretionary,Diversified Consumer Services
287,UDMY,UDMY US Equity,UDEMY INC,Consumer Discretionary,Diversified Consumer Services
288,UTI,UTI US Equity,UNIVERSAL TECHNI,Consumer Discretionary,Diversified Consumer Services
289,XWEL,XWEL US Equity,XWELL INC,Consumer Discretionary,Diversified Consumer Services
290,ZSPC,ZSPC US Equity,ZSPACE INC,Consumer Discretionary,Diversified Consumer Services
291,ABNB,ABNB US Equity,AIRBNB INC-A,Consumer Discretionary,"Hotels, Restaurants & Leisure"
292,ACEL,ACEL US Equity,ACCEL ENTERTAINM,Consumer Discretionary,"Hotels, Restaurants & Leisure"
293,AGAE,AGAE US Equity,ALLIED GAMING &,Consumer Discretionary,"Hotels, Restaurants & Leisure"
294,AGH,AGH US Equity,AUREUS GREENWAY,Consumer Discretionary,"Hotels, Restaurants & Leisure"
295,AGS,AGS US Equity,PLAYAGS INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
296,ARKR,ARKR US Equity,ARK RESTAURANTS,Consumer Discretionary,"Hotels, Restaurants & Leisure"
297,ARMK,ARMK US Equity,ARAMARK,Consumer Discretionary,"Hotels, Restaurants & Leisure"
298,BALY,BALY US Equity,BALLY'S CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure"
299,BDL,BDL US Equity,FLANIGAN'S ENTER,Consumer Discretionary,"Hotels, Restaurants & Leisure"
300,BH,BH US Equity,BIGLARI HOLDIN-B,Consumer Discretionary,"Hotels, Restaurants & Leisure"
301,BH/A,BH/A US Equity,NBHSA INC - A,Consumer Discretionary,"Hotels, Restaurants & Leisure"
302,BJRI,BJRI US Equity,BJ'S RESTAURANTS,Consumer Discretionary,"Hotels, Restaurants & Leisure"
303,BKNG,BKNG US Equity,BOOKING HOLDINGS,Consumer Discretionary,"Hotels, Restaurants & Leisure"
304,BLMN,BLMN US Equity,BLOOMIN' BRANDS,Consumer Discretionary,"Hotels, Restaurants & Leisure"
305,BROS,BROS US Equity,DUTCH BROS INC-A,Consumer Discretionary,"Hotels, Restaurants & Leisure"
306,BTBD,BTBD US Equity,BT BRANDS INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
