id_ind,industry_id,industry,date_id,date,volume,close_price,dayHigh,dayLow
500192.0,49.0,"Oil, Gas & Consumable Fuels",20250613,6/13/2025,816781300,6174.653258871,6243.98993643,6023.514083437
500195.0,49.0,"Oil, Gas & Consumable Fuels",20250616,6/16/2025,601131339,6141.101597,6281.710499,6048.16201
510419.0,50.0,Paper & Forest Products,20250613,6/13/2025,1898900,179.40000534,184.30000496,178.07999705
510422.0,50.0,Paper & Forest Products,20250616,6/16/2025,1604534,181.1699991,183.5300016,180.2200031
520646.0,51.0,Passenger Airlines,20250613,6/13/2025,178673000,406.309996316,418.438004606,400.115996058
520649.0,51.0,Passenger Airlines,20250616,6/16/2025,133745705,421.8855019,425.335307,408.8513021
530873.0,52.0,Personal Care Products,20250613,6/13/2025,63621200,585.600995142,609.202999239,581.320001654
530876.0,52.0,Personal Care Products,20250616,6/16/2025,98171228,603.0329057,612.8756977,587.7738067
541100.0,53.0,Pharmaceuticals,20250613,6/13/2025,177447600,2645.195992488,2694.987009782,2608.538967144
541103.0,53.0,Pharmaceuticals,20250616,6/16/2025,182457710,2639.085831,2689.150893,2605.072809
551327.0,54.0,Professional Services,20250613,6/13/2025,63764000,4021.313000268,4095.532027683,3992.115970178
551330.0,54.0,Professional Services,20250616,6/16/2025,67826594,4041.894009,4076.902473,3986.563603
561554.0,55.0,Real Estate Management & Development,20250613,6/13/2025,71540700,263.495004363,269.141001877,261.135004586
561557.0,55.0,Real Estate Management & Development,20250616,6/16/2025,79745762,263.0162964,269.6678984,261.3518012
571781.0,56.0,Semiconductors & Semiconductor Equipment,20250613,6/13/2025,575550600,5852.214984069,6004.149007253,5800.708027116
571784.0,56.0,Semiconductors & Semiconductor Equipment,20250616,6/16/2025,659977182,6049.848341,6105.214676,5906.971925
582008.0,57.0,Software,20250613,6/13/2025,477738720,13618.75899128,13864.413110455,13484.825189434
582011.0,57.0,Software,20250616,6/16/2025,487687278,13789.04065,13915.69034,13607.56958
592235.0,58.0,Specialty Retail,20250613,6/13/2025,223315800,10008.989905627,10257.732002269,9941.778830058
592238.0,58.0,Specialty Retail,20250616,6/16/2025,180045784,10078.85314,10202.16784,9914.443189
602462.0,59.0,"Technology Hardware, Storage & Peripherals",20250613,6/13/2025,185630400,948.981991512,968.679001365,937.53399508
602465.0,59.0,"Technology Hardware, Storage & Peripherals",20250616,6/16/2025,331803442,979.0217846,986.0704928,950.6443959
612689.0,60.0,"Textiles, Apparel & Luxury Goods",20250613,6/13/2025,74753515,1119.429998247,1158.519990001,1110.745004253
612692.0,60.0,"Textiles, Apparel & Luxury Goods",20250616,6/16/2025,70121856,1160.010001,1166.654805,1129.327491
